200,541
201,537
202,533
203,529
204,526
205,523
206,520
207,517
208,514
210,506
212,501
213,498
215,493
218,485
222,475
223,472
226,464
227,461
229,455
230,453
231,450
232,447
233,445
235,440
236,438
237,435
241,423
242,421
244,416
247,408
248,405
249,402
250,400
251,398
252,396
253,394
257,381
263,363
264,359
265,356
268,349
276,325
277,322
284,304
286,299
287,296
288,293
289,290
303,252
310,232
313,224
315,219
316,217
320,205
321,202
322,198
324,192
330,176
332,171
333,168
335,163
338,154
340,148
341,146
342,143
343,140
344,137
346,132
348,126
349,123
350,120
351,116
352,112
353,109
354,105
355,102
356,98
357,94
358,91
359,88
360,85
361,82
362,80
363,76
364,73
365,71
367,68
368,66
369,63
370,61
371,59
372,57
373,223
374,57
